SKU,Référence complète,Marque,Référence Courte,PVP (FCFA),Catégorie,Action Principale,Type de Peau
CLI-EXF-SCR-100,Clinique - Gommage exfoliant 100 ml,Clinique,Gommage exfoliant,  27 500 ,Nettoyant,Désincruste les pores,Tous
CLI-LIQ-SOA-200,Clinique - Savon visage liquide Doux 200 ml,Clinique,Savon visage liquide Doux,  21 900 ,Nettoyant,Nettoie sans dessécher,Tous
CLI-MOI-SUR-50,Clinique Moisture Surge - Soin auto-réhydratant 100H 50 ml,Clinique,Moisture Surge 100H,  29 900 ,Hydratant,Hydratation continue (Gel-Crème),Tous
CLI-MOI-MSK-100,Clinique Moisture Surge - Masque Hydratant nuit 100 ml,Clinique,Masque Hydratant nuit,  34 500 ,Traitement,Récupération nocturne intense,Tous / Sec
CLI-SMA-SER-30,Clinique Smart Clinical Repair - Sérum Correcteur Rides 30 ml,Clinique,Smart Clinical Repair Sérum,  70 000 ,Traitement,Corrige rides et ridules,Mature
CLI-SUN-SPF-50,Clinique Sun Smart - Crème Visage SPF40 50 ml,Clinique,Sun Smart Visage SPF40,  24 500 ,Protection,Protection solaire quotidienne,Tous
CLI-TAK-OFF-125,Clinique Take The Day Off - Démaquillant Yeux et Lèvres 125 ml,Clinique,Take The Day Off Yeux/Lèvres,  22 500 ,Nettoyant,Démaquillant biphasé puissant,Tous
CLI-ABS-LOT-200,CLINIQUE Anti-Blemish Solutions -  Lotion clarifiante anti-imperfections – 200 ml,Clinique,Anti-Blemish Lotion Clarifiante,  23 900 ,Toner,Assèche les imperfections,Grasse / Acné
CLI-ABS-MOU-125,CLINIQUE Anti-Blemish Solutions - Mousse Nettoyante anti-imperfections – 125 ml,Clinique,Anti-Blemish Mousse Nettoyante,  24 500 ,Nettoyant,Nettoyage traitant anti-acné,Grasse / Acné
CLI-AAC-SOA-200,CLINIQUE All About Clean - Savon Visage Tonique pour peau mixte à grasse – 200 ml,Clinique,All About Clean Savon Tonique,  23 500 ,Nettoyant,Purifie et tonifie,Mixte / Grasse
CLI-MEN-DEO-75,Clinique For Men - Déodorant anti-transpirant roll-on 75 ml,Clinique (Men),Déodorant roll-on,  21 900 ,Homme,Anti-transpirant haute efficacité,Homme
CLI-MEN-LOT-100,Clinique For Men - Lotion Hydratante 100 ml,Clinique (Men),Lotion Hydratante,  32 500 ,Hydratant,Hydratant quotidien basique,Homme
CLI-MEN-WAS-200,Clinique For Men - Nettoyant visage anti-brillance 200 ml,Clinique (Men),Nettoyant visage anti-brillance,  24 500 ,Nettoyant,Contrôle le sébum de l'homme,Homme / Gras
CLI-MEN-MOI-100,Clinique For Men - Crème hydratante régulatrice de sébum 100 ml,Clinique (Men),Crème régulatrice de sébum,  34 900 ,Hydratant,Matifie toute la journée,Homme / Gras
CLI-MEN-AGE-100,Clinique For Men - Crème hydratante anti-âge 100 ml,Clinique (Men),Crème hydratante anti-âge,  45 900 ,Hydratant,Prévient les signes de l'âge,Homme / Mature
CLA-DOU-GOM-125,Clarins - Doux Nettoyant Gommant Express 125 ml,Clarins,Doux Nettoyant Gommant Express,  28 900 ,Nettoyant,Nettoie et exfolie en 1 étape,Tous
CLA-HUI-TON-100,Clarins Huile Tonic Corps 100 ml,Clarins,Huile Tonic Corps,  54 900 ,Corps,Fermeté et tonus de la peau,Tous
CLA-COR-VEL-400,Clarins - Lait Corps Hydratant Velours 400 ml,Clarins,Lait Corps Hydratant Velours,  28 500 ,Corps,Hydratation satinée corps,Tous
CLA-LAI-DEM-200,Clarins - Lait Démaquillant Velours 200 ml,Clarins,Lait Démaquillant Velours,  24 900 ,Nettoyant,Démaquillage confort,Sec / Sensible
CLA-LOT-PUR-200,Clarins - Lotion tonique purifiante 200 ml,Clarins,Lotion tonique purifiante,  24 500 ,Toner,Resserre les pores,Mixte / Grasse
CLA-MYC-HAN-30,Clarins My Clarins - Crème mains 30 ml,Clarins,My Clarins Crème mains,  7 000 ,Corps,Hydratation nomade mains,Tous
BIO-AQU-CRM-50,Biotherm Aquasource - Crème hydratante 50 ml,Biotherm,Aquasource Crème hydratante,  31 000 ,Hydratant,Hydratation intense régénérante,Tous / Sec
BIO-BLU-RET-30,Biotherm Blue Retinol - Serum Nuit 30 ml,Biotherm,Blue Retinol Serum Nuit,  76 500 ,Traitement,Anti-âge puissant (Rétinol),Mature
BIO-HOM-AQU-50,Biotherm Homme - Aquapower 72h concentré hydratant 50 ml,Biotherm (Men),Aquapower 72h,  34 900 ,Hydratant,Hydratation ultra-fraîche,Homme
COL-CRI-TAP,Collistar Crio-Taping - Anticellulite Intensif Corps,Collistar,Crio-Taping Anticellulite,  36 900 ,Corps,Raffermissant et anti-capitons,Tous
COL-COR-MOI-400,Collistar - Lait Corps Hydratation Intense 400 ml,Collistar,Lait Corps Hydratation Intense,  21 000 ,Corps,Confort longue durée,Tous
COL-MAX-RAS-400,Collistar - Huile Douche Raffermissante Maxi Format 400 ml,Collistar,Huile Douche Raffermissante,  23 900 ,Hygiène,Nettoie et tonifie sous la douche,Tous
COL-MEN-AGE-50,Collistar Homme - Crème Visage Anti-Âge 50 ml,Collistar (Men),Crème Visage Anti-Âge,  33 500 ,Hydratant,Réduit les rides masculines,Homme
COL-HOM-MOI-80,Collistar Homme - Crème Hydratante 24h 80 ml,Collistar (Men),Crème Hydratante 24 h,  26 900 ,Hydratant,Protection et confort,Homme
COL-VET-SHA-250,Collistar Vetiver Forte - Gel Douche et Shampooing 250 ml,Collistar (Men),Vetiver Forte Gel Douche,  17 500 ,Hygiène,Lavant corps et cheveux parfumé,Homme
DRJ-CER-CRM-50,Dr.Jart+ Ceramidin - Crème hydratante barrière 50 ml,Dr.Jart+,Ceramidin Crème barrière,  42 900 ,Hydratant,Répare la barrière protectrice,Sec / Sensible
DRJ-CER-LOT-50,Dr.Jart+ Ceramidin - Lotion hydratant barrière 50 ml,Dr.Jart+,Ceramidin Lotion barrière,  36 500 ,Hydratant,Texture légère réparatrice,Tous / Mixte
DRJ-CIC-COR-30,Dr.Jart+ Cicapair - Crème Correctrice de Couleur SPF30 30 ml,Dr.Jart+,Cicapair Crème Correctrice,  27 500 ,Traitement,Camoufle rougeurs et protège,Sensible
DRJ-POR-SER-30,Dr.Jart+ Pore Remedy - Sérum Exfoliant PHA 30 ml,Dr.Jart+,Pore Remedy Sérum PHA,  36 500 ,Traitement,Exfoliation douce des pores,Mixte / Grasse
DRJ-VIT-MSK-75,Dr.Jart+ Vital Hydra Solution - Masque hydratant et repulpant 75 ml,Dr.Jart+,Vital Hydra Solution Masque,  29 500 ,Traitement,Masque repulpant immédiat,Tous
DE-BGO-DRO-30,Drunk Elephant B-Goldi - Gouttes lumineuses 30 ml,Drunk Elephant,B-Goldi Gouttes lumineuses,  48 500 ,Traitement,"Éclat ""champagne"" et barrière",Tous
DE-BES-CLE-60,Drunk Elephant Beste N°.9 - Gel nettoyant 60 ml,Drunk Elephant,Beste N°.9 Gel nettoyant,  22 000 ,Nettoyant,Élimine impuretés et pollution,Tous
DE-BOR-BAR-50,Drunk Elephant Bora Barrier - Crème riche réparatrice 50 ml,Drunk Elephant,Bora Barrier Crème riche,  85 900 ,Hydratant,Réparation intense peaux fragiles,Très sec
DE-LAL-RET-50,Drunk Elephant Lala Retro - Crème fouettée 50 ml,Drunk Elephant,Lala Retro Crème fouettée,  78 500 ,Hydratant,Hydratation riche et apaisante,Tous / Sec
DE-VIR-OIL-30,Drunk Elephant Virgin Marula - Huile de luxe visage 30 ml,Drunk Elephant,Virgin Marula Huile de luxe,  84 500 ,Traitement,Nutrition et antioxydant pur,Sec / Mature
LAN-SUN-MIL-100,Lancaster Sun Beauty - Lait Corps protection solaire SPF 50 100 ml,Lancaster,Sun Beauty Lait Corps SPF50,  21 900 ,Protection,Haute protection solaire corps,Tous
SDJ-BUM-BUM-75,Sol de Janeiro Brazilian Bum Bum Cream 75 ml,Sol de Janeiro,Brazilian Bum Bum Cream,  26 500 ,Corps,Raffermit et parfume le corps,Tous
