Marque,Nom produit FR,Format,Type de peau / zone,Problème ciblé,Bénéfice 1,Bénéfice 2,Bénéfice 3,Comment l'utiliser
Clinique,Exfoliating Scrub,100 ml,Peaux grasses - visage,"Pores bouchés, grain irrégulier, excès de sébum",Gommage mécanique à grains qui désincruste les pores,Élimine les cellules mortes en surface,Affiche une peau plus lisse et plus nette,"Utiliser 2 à 3 fois par semaine sur peau humide, masser doucement puis rincer"
Clinique For Men,Déodorant anti-transpirant roll-on,75 ml,Toutes peaux - aisselles,Transpiration et odeurs,Contrôle la transpiration tout au long de la journée,"Formule douce, sans parfum",Convient aux peaux sensibles,"Appliquer sur peau propre et sèche, laisser sécher avant de s'habiller"
Clinique,Savon Visage Liquide Doux,200 ml,Peaux sèches à mixtes - visage,Nettoyer sans dessécher,Base lavante douce qui élimine impuretés et excès de sébum,Respecte l'équilibre cutané,Première étape du système 3 Temps,"Matin et soir, faire mousser sur peau humide puis rincer"
Clinique For Men,Moisture Lotion,100 ml,Peaux normales à sèches - visage,Déshydratation et feu du rasoir,Fluide hydratant léger qui apaise immédiatement,Réduit les tiraillements après le rasage,Laisse la peau souple et confortable,"Appliquer matin et ou soir, après le rasage ou sur peau propre"
Clinique For Men,Oil Control Face Wash,200 ml,Peaux mixtes à grasses - visage,"Excès de sébum, brillance, impuretés",Gel nettoyant qui élimine sébum et saletés en profondeur,Prépare la peau au rasage,Apporte une sensation de fraîcheur,Utiliser matin et soir sur peau humide puis rincer abondamment
Clinique For Men,Oil Control Moisturizer,100 ml,Peaux mixtes à grasses - visage,Hydratation sans brillance,Fluide léger qui hydrate sans graisser,Aide à contrôler la brillance au fil de la journée,Laisse la peau nette et confortable,Appliquer matin et ou soir sur visage propre
Clinique,Moisture Surge 100H Auto-Réhydratant,50 ml,Toutes peaux - visage,Déshydratation et manque de rebond,Gel crème à l'aloe bio-fermenté et acide hyaluronique,Hydrate jusqu'à 100 heures selon la marque,Repulpe la peau et lisse les ridules de déshydratation,Appliquer matin et ou soir ou en masque épais 5 minutes
Clinique,Moisture Surge Masque Nuit Hydratant,100 ml,Toutes peaux déshydratées - visage,Manque d'hydratation nocturne,Masque de nuit crème qui enveloppe la peau,Aide à reconstituer les réserves en eau pendant le sommeil,Au réveil la peau paraît rebondie et reposée,Appliquer en couche fine le soir et laisser agir toute la nuit
Clinique For Men,Anti-Age Moisturizer,100 ml,Peaux masculines - visage,"Premiers signes de l'âge, rides et perte de tonus",Hydratant anti-âge qui nourrit la peau,Aide à lisser ridules et améliorer la fermeté,Protège des agressions externes,Appliquer matin et ou soir sur visage et cou
Clinique,Smart Clinical Repair Sérum Correcteur Rides,30 ml,Toutes peaux - visage,"Rides installées, perte de fermeté",Sérum concentré en peptides et actifs resurfaçants,Lisse visiblement rides et ridules,Améliore la fermeté et l'aspect général de la peau,Appliquer matin et soir avant la crème hydratante
Clinique,Sun Smart Crème Visage SPF 40,50 ml,Toutes peaux - visage,Protection solaire quotidienne,Crème visage à large spectre SPF 40,"Texture légère, non grasse",Convient à un usage quotidien,Appliquer généreusement en dernière étape de soin avant l'exposition
Clinique,Take The Day Off Démaquillant Yeux et Lèvres,125 ml,Toutes peaux - yeux et lèvres,Maquillage longue tenue et waterproof,Formule biphasée qui dissout le maquillage sans frotter,Respecte la zone fragile des yeux,Convient aux porteurs de lentilles,"Agiter, imbiber un coton, laisser poser quelques secondes puis essuyer"
Collistar,Crio-Taping Anticellulite Intensif Corps,Set,"Zones à cellulite - cuisses, fesses, hanches",Aspect peau d'orange et jambes lourdes,Bandes auto-adhésives imbibées d'actifs drainants,Effet froid pour stimuler la microcirculation,Lisse visiblement l'aspect de la peau,Appliquer les bandes sur les zones concernées en suivant le protocole Collistar
Collistar,Fluide Corps Hydratation Intense,400 ml,Peaux normales à sèches - corps,Sécheresse et manque de souplesse,Lait fluide riche en acide hyaluronique et huiles émollientes,Hydrate en profondeur et lisse la peau,Laisse un fini satiné,"Appliquer quotidiennement sur le corps, surtout après la douche"
Collistar,Huile de Douche Raffermissante Maxi Format,400 ml,Tous types de peau - corps,Nettoyage sous la douche avec confort,Huile de douche qui nettoie en douceur,Enrichie en huiles végétales nourrissantes,Laisse la peau souple et légèrement tonifiée,Utiliser comme un gel douche sur peau mouillée puis rincer
Collistar Uomo,Crème Visage Anti-Âge,50 ml,Peaux masculines - visage,"Rides, fatigue, perte de tonus",Crème anti-âge spécifique homme,Redonne énergie et éclat au teint,"Texture fraîche, non grasse",Appliquer matin et ou soir sur visage et cou
Collistar Uomo,Crème Hydratante 24 h Visage et Yeux,50 ml,Peaux masculines - visage et contour des yeux,Manque d'hydratation et signes de fatigue,Soin 2 en 1 pour visage et zone du regard,Hydrate jusqu'à 24 heures,Réduit l'apparence des signes de fatigue,Appliquer matin et ou soir sur visage et contour des yeux
Collistar Uomo,Vetiver Forte Gel Douche et Shampooing,250 ml,Peau et cheveux - homme,Nettoyage rapide sous la douche,Gel 2 en 1 corps et cheveux,Nettoie sans dessécher,Parfum vétiver intense et boisé,Utiliser sur corps et cheveux mouillés puis rincer
Dr.Jart+,Ceramidin Crème hydratante barrière,50 ml,Peaux sèches et sensibles - visage,"Barrière cutanée fragilisée, sécheresse",Crème riche aux céramides qui renforce la barrière,Nourrit intensément et réduit les tiraillements,Aide à diminuer les rougeurs liées à la sécheresse,Appliquer matin et ou soir en dernière étape de soin
Dr.Jart+,Ceramidin Lait hydratant barrière,50 ml,Tous types de peau - visage,Déshydratation et inconfort léger,"Lait fluide aux céramides, panthénol et glycérine",Hydrate durablement tout en restant léger,Laisse la peau souple et rebondie,Appliquer matin et ou soir seul ou sous une crème
Dr.Jart+,Cicapair Crème Correctrice de Couleur SPF 30,30 ml,Peaux sensibles à rougeurs - visage,"Rougeurs diffuses, teint irrégulier",Crème verte qui se transforme en beige pour neutraliser les rougeurs,Centella asiatica pour apaiser et protéger la barrière,Protection SPF 30 pour usage quotidien,"Appliquer en fin de routine sur le visage, du centre vers l'extérieur"
Dr.Jart+,Pore·Remedy Sérum Exfoliant PHA,30 ml,"Peaux mixtes à grasses, même sensibles - visage","Pores visibles, points noirs, texture irrégulière",Sérum exfoliant aux PHA pour une action douce en surface,Aide à réduire points noirs et excès de sébum,Panthénol et autres actifs apaisants pour limiter les irritations,"Le soir, 2 à 3 fois par semaine, appliquer quelques gouttes sur peau propre"
Dr.Jart+,Vital Hydra Solution Masque Nuit Hydro Plump,75 ml,Peaux déshydratées - visage,"Manque d'eau, tiraillements, teint terne",Masque de nuit qui recharge la peau en hydratation,Renforce la barrière pour limiter la perte en eau,Peau repulpée et lissée au réveil,"Appliquer en couche fine en dernière étape de la routine, laisser poser toute la nuit"
Drunk Elephant,B-Goldi Bright Drops,30 ml,"Toutes peaux, surtout teint terne - visage",Taches légères et manque d'éclat,Gouttes illuminatrices avec niacinamide et antioxydants,Aident à unifier le teint et à estomper les irrégularités,Pigments dorés pour un glow immédiat,Mélanger 1 goutte à la crème ou au sérum puis appliquer sur le visage
Drunk Elephant,Beste N°.9 Jelly Cleanser,60 ml,Toutes peaux - visage,"Impuretés, maquillage léger, excès de sébum",Gel nettoyant jelly aux tensioactifs doux,Élimine maquillage léger et pollution sans décaper,Laisse la peau propre et confortable,Utiliser matin et soir sur peau humide puis rincer
Drunk Elephant,Bora Barrier Rich Repair Cream,50 ml,Peaux sèches ou sensibilisées - visage,"Barrière abîmée, tiraillements, rougeurs",Crème riche avec beurres et lipides réparateurs,Apporte une hydratation longue durée,Restaure le confort des peaux fragilisées,Appliquer matin et ou soir en dernière étape
Drunk Elephant,Lala Retro Whipped Cream,50 ml,Peaux normales à sèches - visage,Sécheresse et perte de souplesse,Crème fouettée aux huiles africaines et céramides,Renforce la barrière et nourrit en profondeur,Apporte éclat et confort,Appliquer matin et ou soir sur visage et cou
Drunk Elephant,Virgin Marula Luxury Facial Oil,30 ml,"Toutes peaux, surtout sèches - visage","Déshydratation, teint terne, manque d'élasticité",Huile 100 pour cent marula vierge riche en omégas et antioxydants,Nourrit et lisse la peau,Améliore l'éclat et la souplesse,"Déposer 2 à 3 gouttes sur le visage et le cou, seule ou mélangée à la crème"
Lancaster,Sun Beauty Lait Corps SPF 50,100 ml,Toutes peaux - corps,"Exposition solaire intense, risque de coups de soleil",Lait solaire léger à SPF 50 et Full Light Technology,"Protège des UVA, UVB et autres rayonnements",Tan Activator Complex pour un bronzage doré plus rapide,Appliquer généreusement sur le corps avant l'exposition et renouveler régulièrement
Sol de Janeiro,Brazilian Bum Bum Cream,75 ml,Toutes peaux - corps,"Manque de fermeté, sécheresse, aspect irrégulier",Crème corps culte enrichie en extrait de guaraná et beurre de cupuaçu,"Nourrit, lisse et aide à raffermir visiblement la peau",Parfum iconique Cheirosa 62 aux notes de pistache et caramel salé,"Appliquer en massages circulaires sur fessier, cuisses, ventre et bras tous les jours"
Nubiance,ACT-5 – Crème anti-imperfections,30 ml,"Peaux mixtes à grasses, à imperfections – visage","Boutons, points noirs, excès de sébum, marques ",Aide à prévenir l’apparition des boutons et à réduire les imperfections,Contribue à réguler le sébum et à lisser le grain de peau,Soin utilisable matin et/ou soir ,"Appliquer sur peau propre, sur l’ensemble du visage ou en zones ciblées. Utiliser quotidiennement matin et/ou soir."
Nubiance,Cleanactyl – Gel nettoyant visage,200 ml,"Peaux mixtes à grasses, à tendance acnéique – visage","Impuretés, excès de sébum, pores encombrés",Gel nettoyant sans savon à pH neutre conçu pour purifier,Nettoie intensément tout en préservant l’équilibre naturel de la peau,"Mousse légèrement, laisse le teint plus net","Sur peau humidifiée, faire mousser par mouvements circulaires puis rincer abondamment. Matin et/ou soir."
Nubiance,HRB-3 – Soin Jour anti-taches,50 ml,Peaux concernées par l’hyperpigmentation – visage & cou,"Taches pigmentaires (mélasma, marques post-inflammatoires), prévention récidive",Soin de jour anti-taches avec protection solaire,Aide à corriger les taches dès le matin et à unifier le teint,"Protège des UVA/UVB, facteurs aggravants de l’hyperpigmentation","Le matin, appliquer uniformément sur visage et cou sur peau propre. Renouveler en cas d’exposition prolongée. Éviter le contour des yeux."
Nubiance,HRB-3 – Sérum Éclat anti-taches aux AHA,30 ml,Peaux hyperpigmentée – visage & décolleté,Taches pigmentaires et teint irrégulier,Sérum exfoliant aux AHA visant à prévenir et corriger les taches pigmentaires,Aide à réguler la mélanine et à favoriser le renouvellement cellulaire,Usage conseillé le soir (AHA photosensibilisants selon la marque),"Le soir, appliquer localement sur les taches et zones hyperpigmentées. Utiliser un SPF le lendemain. Ne pas multiplier les sérums actifs en même temps."
Nubiance,HRB-3 – Crème éclat Anti-taches,50 ml,"Toutes peaux, même sensibles – visage","Hyperpigmentation, teint terne, irrégularités",Soin correcteur d’hyperpigmentation visant à estomper tous types de taches,Aide à améliorer l’éclat et l’homogénéité du teint,"Hydrate en douceur, sans parfum selon la marque","Appliquer matin et/ou soir sur visage et cou, sur peau propre, après le sérum."
Nubiance,Sérum Hydratation Intense,30 ml,"Toutes peaux, même sensibles – visage","Déshydratation, tiraillements, barrière fragilisée",Concentration élevée d’acides hyaluroniques pour hydrater en profondeur,Aide à renforcer durablement la barrière cutanée et apaise les tiraillements,"Texture légère, sans parfum selon la marque",Appliquer matin et/ou soir sur peau propre avant la crème.
Nubiance,Micelliance – Eau Micellaire haute tolérance,500 ml,"Toutes peaux, même sensibles – visage & yeux","Démaquillage, impuretés, confort des peaux réactives",Démaquille en douceur visage et yeux,"Formule sans alcool, sans parfum et sans colorant selon la marque","Tonifie et apaise, confort immédiat",Appliquer au coton sur visage et yeux. Renouveler jusqu’à coton propre. Rincer si sensation de sécheresse.
Nubiance,Baume Corps Hydratant,450 ml,Peaux sèches et sensibles – corps (famille dès 3 ans selon la marque),"Sécheresse, tiraillements, inconfort",Hydratation continue 48h selon la marque et nutrition intense,"Renforce la barrière cutanée, apaise les tiraillements",Texture fondante non grasse ni collante,"Appliquer 1 à 2 fois par jour sur peau propre, en insistant sur les zones sèches."
Nubiance,Lait Corps Anti-taches,500 ml,"Peaux noires, mates et métissées – corps","Taches et zones hyperpigmentées (bras, jambes, dos, ventre)",Hydrate et aide à corriger les taches localisées sur le corps,Formule sans hydroquinone selon la marque,"Peau plus uniforme, douce et lumineuse","Après la douche, appliquer sur peau sèche en mouvements circulaires sur l’ensemble du corps en insistant sur les taches."
Clinique,Anti-Blemish Solutions – Lotion clarifiante anti-imperfections,200 ml,Peaux sujettes à imperfections – visage,"Excès de sébum, brillance, pores obstrués / imperfections",Exfoliant liquide à base d’acide salicylique (BHA),"Aide à réduire l’excès de sébum et la brillance, effet matifiant","Sans parfum, testé dermatologiquement / allergie selon Clinique","Après nettoyage, appliquer au coton 1 à 2 fois par jour selon tolérance. Éviter le contour des yeux. Utiliser un SPF en journée."
Clinique,Anti-Blemish Solutions – Mousse nettoyante anti-imperfections,125 ml,Peaux sujettes à l’acné – visage,"Boutons, pores encombrés, excès de sébum","Nettoyant moussant avec 1,5% d’acide salicylique ","Aide à nettoyer et à prévenir les imperfections, désincruste les pores","Sans parfum, testé dermatologiquement / allergie selon Clinique","Matin et/ou soir sur peau humide, faire mousser, masser puis rincer."
Clinique,All About Clean – Savon visage tonique peau mixte à grasse,200 ml,Peaux mixtes à grasses – visage,"Nettoyage quotidien sans dessécher, excès de sébum",Nettoyant liquide conçu pour rincer rapidement et nettoyer en douceur,"Aide à laisser la peau fraîche, confortable, non desséchée","Sans parfum, testé dermato/ophtalmo / allergie selon Clinique","Matin et soir sur peau humide, faire mousser, masser puis rincer."
Beauty of Joseon,Sérum éclat intense : riz + alpha-arbutine,30 ml,Toutes peaux – visage,"Teint terne, taches, irrégularités du teint",Sérum illuminateur à l’alpha-arbutine et  son de riz,Cible l’aspect des taches et du teint irrégulier pour plus d’éclat,Texture légère adaptée à l’usage quotidien,"Appliquer 2–3 gouttes matin et/ou soir après le tonique, avant la crème."
Beauty of Joseon,Nettoyant rafraîchissant à la prune verte ,100 ml,Toutes peaux – visage,"Nettoyer sans décaper, inconfort post-nettoyage","Nettoyant doux au pH équilibré, avec extraits de prune et de haricot mungo",Nettoie en profondeur et rafraîchit tout en soutenant la barrière d’hydratation,Conçu pour un usage quotidien,"Sur peau humide, faire mousser, masser puis rincer. Matin et/ou soir."
Beauty of Joseon,Crème solaire apaisante SPF50 au riz + probiotiques ,50 ml,Toutes peaux – visage,"Protection UV quotidienne, inconfort / film blanc",Écran solaire à texture légère,Infusé avec 30% d’extrait de riz et extraits de grains fermentés pour hydrater et apaiser,"Absorption rapide, fini lumineux, sans trace blanche selon la marque",Appliquer généreusement en dernière étape le matin. Renouveler toutes les 2 heures en exposition.
Beauty of Joseon,Sérum apaisant au thé vert + panthénol ,30 ml,Peaux sensibles / irritées – visage,"Rougeurs, inconfort, barrière fragilisée",Sérum aqueux qui aide à apaiser et rafraîchir la peau ,Complexe Green Tea-HA pour hydrater en profondeur,Panthénol pour limiter la perte en eau et soutenir la barrière,"Appliquer matin et/ou soir après le tonique, puis crème."
Beauty of Joseon,Gel hydratant au haricot rouge ,100 ml,Peaux mixtes à grasses – visage,"Hydrater sans brillance, équilibre du sébum",Gel hydratant léger formulé avec haricot rouge et peptides,Aide à maintenir un niveau de sébum optimal selon la marque,Apporte rebond et hydratation sans lourdeur,"Appliquer matin et/ou soir en dernière étape, ou avant SPF le matin."
ANUA,Mousse nettoyante purifiante Heartleaf Quercetinol,150 ml,Toutes peaux – visage,"Pores encombrés, excès de sébum, texture",Mousse nettoyante à l’extrait de Heartleaf pour un nettoyage en profondeur,Conçue pour nettoyer les pores et exfolier en douceur les cellules mortes,"Nettoyage non décapant, apaisant selon la marque","Sur peau humide, faire mousser, masser puis rincer. Matin et/ou soir."
ANUA,Lotion tonique apaisante Heartleaf 77%,150 ml,"Toutes peaux, particulièrement sensibles – visage","Rougeurs, inconfort, déséquilibre de pH",Tonique formulé avec 77% d’extrait de Heartleaf ,"Aide à apaiser, hydrater et équilibrer le pH",Test de la marque: baisse de la température cutanée après 1 utilisation,"Après le nettoyage, appliquer au coton ou aux mains. Matin et/ou soir."
ANUA,Sérum Niacinamide 10% + TXA 4% éclat et taches pigmentaires,30 ml,Toutes peaux – visage,"Taches, teint terne, manque de clarté",Sérum correcteur avec 10% niacinamide + 4% acide tranexamique (TXA) selon la marque,Aide à améliorer l’apparence de la clarté et l’équilibre de la peau,Conseil marque: utiliser matin et soir; SPF en journée,"Appliquer quelques gouttes sur zones concernées, tapoter. Augmenter progressivement si besoin. Matin et nuit, puis SPF en journée."
ANUA,Sérum pêche 70% niacinamide,30 ml,Toutes peaux – visage,"Teint terne, manque d’éclat, irrégularités",Sérum illuminateur « Peach 70% » pour un glow quotidien selon la marque,Aide à unifier et à illuminer le teint en douceur,Texture légère adaptée à un usage quotidien,"Appliquer matin et/ou soir après le tonique, avant la crème. SPF en journée."
AXIS-Y,Sérum éclat correcteur de taches pigmentaires,50 ml,Toutes peaux – visage,"Taches, teint irrégulier, manque d’éclat",Formule clinique visant à améliorer l’apparence des taches et du teint irrégulier,Actif clé mis en avant: 5% niacinamide + squalane d’origine végétale,Assez doux pour un usage quotidien selon la marque,"Appliquer sur peau propre, puis crème. Utiliser matin et/ou soir; SPF recommandé le jour."
AXIS-Y,Lotion tonique éclat correctrice de taches pigmentaires,125 ml,Toutes peaux – visage,"Teint terne, inconfort post-nettoyage, préparation des soins","Tonique hydratant qui prépare, apaise et aide à illuminer",Redonne confort et hydrate dès l’application,Aide à améliorer le ton et la clarté du teint selon la marque,"Après nettoyage, appliquer au coton ou aux mains, puis sérum/crème."
AXIS-Y,Spot The Difference Soin local anti-imperfections,15 ml,"Peaux acnéiques, grasses ou sensibles – zones ciblées","Boutons actifs, rougeurs localisées",Gel léger pour soulager les poussées et imperfections,Infusé de capsules de céramides hydratantes pour soutenir la barrière,Sans alcool selon la marque,"Appliquer localement sur imperfections, 1 à 2 fois par jour selon besoin."
AXIS-Y,Sunday Morning Mousse nettoyante rafraîchissante,120 ml,Toutes peaux – visage,"Impuretés, excès de sébum, nettoyage non agressif","Mousse nettoyante pH 5,5 conçue pour nettoyer en profondeur sans décaper",Technologie Aquaxyl pour aider à maintenir l’hydratation et l’équilibre,Sensation de peau propre mais hydratée selon la marque,"Sur peau humide, faire mousser, masser puis rincer. Matin et/ou soir."
